Years Active in Games Industry,Roles Held,Years of Indie Exp,Years of AA Exp,Years of AAA Exp,Age,Country,Type,Primary Role,Other Roles,Engine,Time On Project,Team Size,Budget,Publisher,Project Duration,Test Performance Narrative,Performance 1,Performance 2,Performance 3,Performance 4,Performance 5,Performance 6,Performance 7,Performance 8,Test Planning Narrative,Planning 1,Planning 2,Planning 3,Planning 4,Planning 5,Planning 6,Planning 7,Planning 8,Planning 9,Test Goals,Goals 1,Goals 2,Goals 3,Goals 4,Test Automation Narrative,Automation 1,Automation 2,Automation 3,Automation 4,Automation 5,Automation 6,Automation 7,Automation 8,Automation 9,Automation 10,Test Tools,Tools 1,Tools 2,Tools 3,Tools 4,Tools 5,Tools 6,Test Output Narrative,Output 1,Output 2,Output 3,Output 4,Output 5,Output 6,Test Resources,Resources 1,Resources 2,Resources 3,Resources 4,Resources 5,Resources 6,Resources 7,Resources 8,Resources 9,Additional Info,QA - Helpful,QA - Painful,QA - Wants
10,"['Lead/Prod/Mgr', 'Designer/ProdOwner']",6,0,4,25-34,Canada,Indie Game,"Team Lead, Producer, and/or Project Manager","['Designer/ProdOwner', 'Sound Designer']",Unity,Over 3 years,1 - 49,Under $1M USD,"No, we did not have a publisher",Over 3 years,"Everyone did initial work on features and content independently. We would do testing on features and content as we worked. We would then send our feature/content to all other team members who would play and test the content on their own. Any bugs or issues that popped up would be showed to the feature/content owner with reproduction steps. When all bugs from that round had been fixed, it would be sent out to team members again to see if they could reproduce the original bugs or find new ones. This would continue until no more bugs were found. At that point we would do playtesting with external players, either through focus tests or by deploying the content to customers. If new bugs were found, at that point, the cycle would start again.",1,1,5,1,1,4,4,4,We made no test plans. We were a small team and were each responsible for testing our own content. This was not done through a formal process.,1,1,1,1,5,4,1,1,1,"We didn't want to show buggy features or content to other developers or to release buggy features or content to our players. Because the onus for testing fell onto individual developers to show other developers bug free features and content, very few bugs reached other developers, and even fewer still made it to players. Most of the bugs that reached players had to do with hardware that was unavailable to the development team, or design bugs that developers never considered.",3,3,5,5,We did no automated testing. All testing was manual. It was done first by the primary feature/content developer and then by the other developers.,5,1,0,0,0,-1,0,5,2,0,"We used no tools for testing. It was all done in Engine. So I guess the Engine was the testing tool. We also had no real testing goals, so... ¯\_(ツ)_/¯",4,0,4,0,0,4,"Testing output was verbal, and demonstrated in person or via recorded video with voice over.",4,5,4,5,0,1,"We used our own time, since we had neither additional human resources, funding, or hardware to dedicate to testing. It was expected of each developer that they had done adequate testing before putting a feature forward.",4,3,2,3,1,1,5,5,0,"It worked really well? We were complemented by critical and player reviews for having a pretty bug free game. I think a key to this was that it was taken as a given that everyone should take the time to test and iterate on their features before pushing them out to other people. In my other projects, people say to do that, but then rarely actually give you the space, or expect you to keep up with your task backlog in order to do that in an effective manner.",Automated tests,Maintaining automated tests,Dedicated infrastructure to help developers write effective automated tests.
2,"['Lead/Prod/Mgr', 'Designer/ProdOwner']",2,0,0,25-34,United States,Indie Game,"Team Lead, Producer, and/or Project Manager",['Designer/ProdOwner'],Custom Engine,1 year or less,1 - 49,Under $1M USD,"Yes, we had a publisher who provided marketing support",2 - 3 years,"We had a full QA team through the publisher that would regularly do Smoke, Regression, and CQA tests.",3,3,4,5,3,5,4,5,The test plans were made by myself and checked by the QA Manager,5,4,4,1,1,2,3,2,5,Mainly checking player interactions and server issues.,5,5,5,3,All testing was manual.,5,0,0,0,0,-1,0,-1,0,0,We used a specific engine and set of tools made by one of our team members for this project.,5,3,3,5,5,5,testing data is extracted into charts and summaries at my org so we can see the long-term progression of a project.,5,5,4,4,2,5,"We had QA staff, dev kits, and 25k in the budget for QA.",3,2,1,2,5,1,5,4,2,,Have a really organized and specific test plan.,Testers not staying focused on the exact things we want reported at a given time.,I haven't used many automation tools so I am curious about that now.
2,['UX Researcher'],0,1,0,25-34,Canada,AA Game,UX Researcher,['n/a'],Unreal,1 year or less,100 - 499,Unknown,"Yes, we had a publisher, but they did not provide marketing support",Over 3 years,"Internal testing was led by QA and had other members of the company/team play the game, specifically for any new features or to figure out any known bugs. Most feedback was focused on the goal for that session. This was done multiple times a week. There was also focus testing and alpha testing weekends done with friends/family of the project - players were free to play through the current version of the game over the weekend and submit any feedback or bugs they had. Focus testing was done to observe player behaviors as they played through the game, or a specific aspect of the game, and to interview players to get deeper thoughts on what was working well/what wasn't. Multiple players were usually focus tested at once. This was done every few months, or monthly for smaller focus testing groups. ",-1,-1,4,5,1,5,5,5,"Various team members (such as designers, producers, etc.) would come to the QA team to let them know what they wanted tested for the upcoming week for internal testing. QA would need specifics such as what was being tested, instructions for other team members who would be doing the testing, and if there were any specific build needs. UX research was reached out to if a survey was needed for the test, which was also handed off to QA to distribute. This was done on a weekly basis, with specific goal needs becoming more important and more prominent in testing towards our release dates. External focus tests were also done on a monthly/bi-monthly basis, with goals being set out by the production team for what was to be tested. Specific interview and survey questions were developed by UX research. ",-1,4,1,4,1,4,3,2,2,"On a regular basis we would be testing out the build to see if there were any regressions, bugs, or any new issues that came with new features that were being implemented to stay on top of issues with the build. On a larger basis, with the external playtests, we were looking for player attitudes and seeing if players were enjoying the game, understanding it, and if there were any issues they were running into that we were not aware of - whether that be bugs or unclear features.  By having a very regular and consistent testing schedule, it helped us find any bugs or issues early on, and also to help us make sure that everything was on track for our desired game experience (which was really helpful with the external tests). ",4,5,5,1,"I actually don't know if there was automated testing on the project or what it was used for, but I think there was some automation? I'm unclear what the automation was used for if it was there. As mentioned, manual testing was done almost daily on the project for the whole team, with QA working in the builds every day as well. User experience, user bugs, and integration of features seemed to be the prioritized aspects of manual testing.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unsure.,-1,-1,-1,-1,-1,5,Unsure.,5,5,4,2,4,-1,We had a whole internal QA team consisting of around 10 people that were dedicated towards testing and build management. Many QA testers would stay late leading up to a release date to ensure that everything was working properly. Many developers and other team members would also allocate part of their day to doing some internal testing. I am less sure about hardware. There was one UX researcher dedicated to external testing.,2,5,-1,-1,-1,1,5,2,4,,"Knowing clear goals, understanding the testing process, standardized documentation.","Unclear testing goals and crunch leading up to testing. This usually stems from a disorganized lead up to release, leading to all of my work needing to be done right before external testing is to be done. Ensuring results are accurate and clear.","More diverse representation from external players chosen for testing, more integration of UX and UX research into the testing and design process (rather than being seen as a completely separate function), and more documentation for UX research/testing in games."
5,"['QA', 'Designer/ProdOwner']",5,2,0,25-34,United States,Indie Game,"Game Designer, Level Designer, Gameplay Designer, and/or Product Owner",['QA'],Unity,2 - 3 years,1 - 49,Under $1M USD,"No, we did not have a publisher",2 - 3 years,"We all kinda did our part, we were still inexperienced so it involved a lot of trial and error alongside creativity. Our small team didn't mind the extra time. Honestly it was something we looked forward to. We all kinda liked thinking of ways to break the game and we felt the testing brought us a lot of positives. Including the scope and size of what we wanted vs what was realistic, but as we grew to know what we had we learned what we else we could do within reason.",4,3,5,2,3,4,4,5,"At the time, we needed it before we realized it. After that hill we usually ran tests after implementations of new mechanics and designs",5,4,4,4,4,2,2,2,2,"We were really looking for hardware compatibility, making sure it'd run across the board. Making it run smoothly, optimizing and fixing the little things as we went",5,5,5,4,"Since we were a small team,  we did a lot of it ourselves. We all knew the game very well and our artists/testers/programmers were always communicating",5,2,3,4,2,5,3,-1,2,4,"Our game was pretty small, automated testing wasn't really necessary because often we knew where the problems were. It was more of a safety net for unseen things we didn't catch",3,2,2,4,4,4,"We had a group discord, when things came up they were put there. We liked to call it the ""explain it like I'm 5"" rule. We tried to simplify our problems so that just about everyone on our team could understand why what was doing what.",5,2,4,2,2,3,"We all kinda did our parts when we could. We felt like if there was a problem, we took them on as a team. Our artists believe it or not were often our MVPs. It was something we all believed in and we wanted it to be the best it could be",4,2,2,2,2,2,5,5,5,,"Proper means of communication, being able to openly ask questions without ""feeling dumb"". We were all equal and we were all in it together.","I think at first it was a lack of knowledge of how to properly test, what resources were available and learning as we went.","I wish it was easier to find outside eyes to look in. We were a small team, didn't really know anyone in the business and I wish it was easier to just find a little help. We didn't need a whole department sometimes, just a few fresh eyes here and there."
6,"['Dev/Prog/Eng', 'QA', 'Lead/Prod/Mgr', 'Designer/ProdOwner', 'Business, marketing']",6,0,0,25-34,Canada,Indie Game,"Developer, Programmer, and/or Engineer","['QA', 'Lead/Prod/Mgr', 'Designer/ProdOwner', 'Business, marketing, writer']",Unity,Over 3 years,1 - 49,Under $1M USD,"No, we did not have a publisher",Over 3 years,"I would personally test new features and make sure they're broadly working as I implemented them.    I and two other team members would periodically play through portions of the game and take note of balance issues and bugs. We'd record these in Trello. Some issues of balance and level design would be corrected by our combat/level designer, but generally correcting the bugs would come to me. Again, once the fix was implemented, I'd do an initial round of tests to confirm it, and would sometimes ask the other team members to keep an eye out for tricky cases.    We did not specifically solicit player feedback except for some demonstrations at events. We observed players interacting with the game and made some adjustments based on their reactions.    All this was done during development without any particular organization. Once we got to the point that all features and content were implemented, we went through a couple of rounds of more organized testing. We would play through the entire game, plus individual sections, noting every correction we thought was needed. I would review these issues and correct them. We then did more iterations of this process until we no longer found significant bugs. We shipped with a couple of minor bugs that were corrected later.    After release we adjusted some additional balance issues based on player feedback, and built a couple of additional features as we worked toward a content add-on.",4,2,5,2,5,3,4,4,"I would routinely make test plans based on what was currently being implemented. They would generally only involve me. The exception would be issues that occurred relatively rarely and did not immediately appear to be reliably reproducible. To help understand the issue, I would ask the other developers to watch for them and let me know the circumstances.    For our more dedicated testing phases, I would draw up a list of activities I felt could potentially produce errors, and while playing through the game as a whole or in parts, would, along with the other developers, check them off.",2,4,4,2,3,4,2,4,5,"With our limited resources, the main priority was game-breaking bugs. To our knowledge, no version shipped with any game-breaking bugs, so it seems we were successful here. That said, one particular issue did only get caught right before release on our very last ""just in case"" round of testing.    Our other priorities were other miscellaneous bugs, along with balance and not having weird out-of-bounds level issues. We definitely released the game a bit harder than it should have been, probably because we got too used to the systems and didn't have a good idea about how someone coming to it fresh would experience it.",4,5,2,3,It was pretty much all manual. I think I tried one automated tool but it didn't play well with the laptop I was using for development at the time. I also wasn't sure if taking the time to learn such tools would ultimately pay off with the limited resources. As such I don't think I can really offer much of an opinion on automated testing.,5,1,0,0,0,0,0,0,0,0,The only tools used were developed as internal parts of the application. Unless you count Trello for tracking.,0,0,0,0,0,2,"When we found a bug or other issue, we'd put it on a Trello board. As I or others were investigating, we'd move it to a pending list. When done, we'd move it to a done list. After some time passes and we're sure the issue is fixed, it got archived from there.    Notes would usually be quite short, but we wanted to capture what the issue was, and the circumstances that seem to trigger it, if relevant.",5,4,4,3,4,2,"As a team of four and a half, there's huge blurry lines in roles. Testing was basically something that was done in tandem with everything else, before becoming the major dedicated last few steps. It's hard to pull it out in any better terms than that, unfortunately. We used the same hardware we used for development.",4,2,0,4,2,1,5,5,0,"Just as extra context, the project had no formal full-time roles. We had one musician and one level/combat designer who both helped with testing. We had an artist who did not. We had a programmer who contributed some minor things (no testing), and we had two programmers who left the project very early. I did basically everything else.","Getting stuff on Trello was a good step and met our needs as a small team. Honestly, I also just used pen and paper a lot when initially finding issues.",The classic: fixing one thing creates new issues you had no idea could exist.,"Hard to say with my experience being on a small team. For my part, I would want to more systematically get player feedback for future projects."
11,"['Dev/Prog/Eng', 'Lead/Prod/Mgr', 'Manager, Engineering']",3,0,7,25-34,USA,AAA Game,"Developer, Programmer, and/or Engineer",['Lead/Prod/Mgr'],Unity,2 - 3 years,100 - 499,Over $10M USD,"No, we did not have a publisher",Over 3 years,"Internal QA resources worked with feature teams to validate new features.  Resources from parent company's QA office performed release verifications and regression testing, consisting of walking through every feature in the game prior to an update (weekly)  Internal QA resources worked with designers to understand upcoming features and maintain the test plans.  Engineers maintained unit and regression test suites for automated nightly tests.",1,5,4,4,5,5,5,5,"Test plans made and maintained by internal QA in test rails. Guidance on expected behavior of features provided by the features primary designer.    Engineering group separately implemented unit and regression tests to their understanding of the feature.    Editorial: the below questions are not well formed. QA was responsible for the test plans, but did not control impacts to release or priorities. QA had input in release decisions, but the product team and studio GM maintained authority. Though the product group didn't generally concern themselves with the test plan unless/until there were live issues.    It was not unusual for the tests to be built along with the feature, especially where features were not fully defined prior to implementation.",5,5,5,3,1,4,3,4,5,New features function as expected. Prior features continue to function as expected. Performance maintains within expected levels across supported devices. Infrastructure is able to support anticipated load.,5,5,4,2,"This question feels malformed. Ownership and maintenance of manual and automated tests were disjoint.    Manual testing generally covered the product in gestalt. Automated testing generally covered the features of the product.    Some common and tedious manual tests additionally had staffing put forward to automate. This required buy in from engineering and QA leadership, in part due to the significant cost gaps (both financial as well as opportunity) between engineer time and QA time.",3,4,1,3,2,2,2,5,3,1,Test rails  Nunit  Unity test framework  FsCheck  Tsung,1,3,5,5,5,4,Automated reports output based on tools default format through CI.  Manual reports generated Jira tickets.,4,4,4,5,2,4,"Small internal QA team, primarily focused on upcoming features. Single dedicated internal release QA. External QA available for support.",4,4,4,5,5,2,4,1,5,Mobile/f2p service game,Clarity on requirements.,"Full time QA in games is primarily seen as unskilled work, leading to low wages and staff trying to use it as a springboard. Ultimately results in QA staff having generally low understanding of the state of software testing. Programmers don't generally spend significant time studying testing methodologies, as it's also a low paying specialization.",Less focus on unskilled QA and more focus on scalable methodologies. Testing in games should look substantially more like testing in tech companies. We rely on low wage unskilled labor to cover for our bad engineering practices.
3,['Designer/ProdOwner'],2,1,0,25-34,Canada,AA Game,"Game Designer, Level Designer, Gameplay Designer, and/or Product Owner",['Designer/ProdOwner'],Unreal Engine 4,1 year or less,100 - 499,$1M - $10M USD,"No, we did not have a publisher",2 - 3 years,"Our QA team is responsible for most of the daily testing on the game, we have a daily process where the QA team goes through the build and writes up tickets for issues that pop up while in gameplay. During this process the QA team goes through specific gameplay elements and content on a rotating schedule for total coverage.  Apart from that all developers were in charge for building automated tests for any content and/or systems they made. Additionally any content merges were put through an automated testing tool first.",5,4,5,5,5,2,4,4,"We have QA leads who draft up our testing process, I'm not fluent with the details but these plans are made early in the project and change according to the state and scale of the build.",5,-1,4,4,1,3,5,5,-1,"The goals in our testing processes are to identify regressions, bugs and tasks early and often as possible. All our tests as far as I understand them is to make sure we don't introduce issues with content merges and to make sure each larger change has QA eyes on them before merge. That's the best I can speak to in my domain since I'm not on the QA team.",5,5,5,3,"We use a healthy hybrid of automated and manual testing as far as I'm aware. As a content developer I use more automated tests before content merges. When I'm developing hot content or introducing larger changes, they always get manually and autotested first before a merge.",3,-1,4,4,2,5,5,5,-1,3,"Autotest merge tool, jira, and a few other first party validation tools for content merges.  The process is relatively painless apart from the fact that it does that up dev time to write the autotests for the content we make (which it makes up for in the long run). Jira is where we track any results from testing. I'm unsure about any other tools that QA uses.",3,4,4,4,4,5,"We have separate logs for separate pieces of content so they are easy to sort through. Sometimes logs might not indicate specific details for a tricky placement issue for example in which case we adapt the logging to present that information. Health and stability of build is dictated by the presence of game-breaking bugs. If the health of the build is really bad, devs hold of on merging content until the issues are resolved.  For specific feature value testing it'd mostly be in meeting format and non-automated.",5,4,5,4,1,5,I'm unsure of the details but our QA team is great at what they do and seem to have resources to help them do what they do.,5,5,3,4,-1,1,5,2,5,,"Frequent playtests both internally and externally, telemetry to objectively measure assumptions, quick surveys if we're looking for specific feedback, automated process for merging content","Ability to perform external playtests frequently to validate design assumptions, keeping up with autotests as the game evolves",Preset tests that come with an engine that can take care of root engine validation and expensive task processing
13,"['QA', 'Lead/Prod/Mgr', 'Release Manager, Live Ops Program Manager, Live Ops Manager']",0,1,9,35-44,Canada,AAA Game,Live Operations Program Manager / Release Manager,['Lead/Prod/Mgr'],Unreal,Over 3 years,100 - 499,Over $10M USD,"Yes, we had a publisher who provided marketing support",Over 3 years,"As a GaaS project, we had to take a pretty divergent path from traditional game dev when it came to testing and pushed for a Quality at Source approach to building and testing the game - meaning that we were always testing from day one as part of a continuous integration strategy and not relying on long testing periods at the end of each milestone to secure quality builds - our need instead was to maintain the ability to release at any time, which was broadly accomplished but still required some supplementary strategies for hardening features prior to release due to the complexity of the game.    We leaned pretty heavily on automation to provide the bulk of the testing work load with a small (for AAA) internal team dedicated largely to embedded testing within feature teams and for daily build validation on shipping builds. There was a heavy expectation on developers to write tests for their work up front and we had regular reviews of the automated tests to ensure we were getting the right coverage (our automated tests came in a wide range of forms and ranged from pretty typical unit tests to more extensive bootflow, performance, scale and visual tests).    We were also testing new versions of the game with the community at a regular cadence - initially just for short sessions in the early days moving to weekly and the 24/7 testing. Post release we had a separate product that we could release to for testing with a subset of the audience and every release had to first be staged through this environment before making it into the hands of regular players.",5,2,5,1,5,5,5,5,"The decision to go leverage Quality at Source/Continuous integration was taken pretty early on and that had an impact on how and when we planned tests.     Typically testing was a daily activity from the very first version of the game and testing planning broke down into the following areas:   - feature testing planning (i.e. how are features testing while in development)   - build validation planning (i.e. what tests need to be done to ensure that the current shipping version of the game is good to release)   - automation planning (i.e. what automated test suites do we need, what upkeep do we need to do on them and what additional testing capabilities should we invest in next)   - compliance test planning   - compatibility test planning   - localisation test planning   - accessibility test planning    For some of the latter, we had partners that we worked with to come up with the plans required but they were part of the same organisation as us for the most part.   -   ",5,4,5,5,1,4,2,2,2,This is a difficult question to answer because our goals for testing were pretty wide ranging (from experiential testing with the community to very stringent technical testing) but largely the testing process was very successful for the most part. It did require a lot of fine tuning though - when you take this kind of approach it can have an adverse affect on velocity and so we had to ensure that our tooling was doing the right things to supplement testing (i.e. allowing for togglable features or live configuration to be done in any environment) as well as a big investment in our build farm to run as many automated tests as we did.,5,5,5,4,Testing split was probably something along the lines of:  60% automated in-house  20% manual in-house (feature)  10% build validation in-house  20% testing done by players  ,1,4,5,2,2,5,5,5,5,3,"Azure DevOps (project management and bug database)  TeamCity (deployment and automated test orchestration)  Proprietary Microsoft tooling for crash reporting, telemetry, ops, publishing etc.  ",4,5,5,5,5,5,Testing output:  - Daily build reports via Email/MS teams (partly automated)  - Build dashboard  - Performance dashboards  - Telemetry dashboards  - Incident reports  - Azure DevOps dashboards,5,4,5,4,1,5,"By making testing a shared responsibility, our testing team internally was pretty small (around 8-10 at the most including management, largely focused on feature work) and outside of the immediate team we had a few small teams dedicated to build validation, compliance and localisation testing.",5,5,5,5,2,1,4,4,5,,"Automation, dynamic feature/game configuration",Localisation testing with procedurally generated text,"More quality at source and automation, less crunch and extended periods of polish testing at the end of projects."
9,['QA'],3,3,3,25-34,Canada,AAA Game,Quality Assurance and/or Game Tester,['QA'],Frostbite,1 year or less,500 or more,Over $10M USD,"Yes, we had a publisher who provided marketing support",Over 3 years,"Given how large the project was, and how distributed the QA group, I can only speak to what our team was doing (~100 testers/analysts).   - BVT: every morning, a small test ops group would complete a Build Verification Test on all systems and a cross section of content to ensure there were no blocking issues  - Compliance testing: as we approached submission to first party, we ran test passes against the certification requirements over the course of several weeks  - Loc testing: as localizations came in, we verified that they were hooked up correctly in game and were formatted properly  - VO testing: as voice overs came in, we verified that they played correctly in game, and matched the subtitles, for all supported languages  - Manual testing: given the scope of the game, there was always some kind of manual testing going on. This included boundary testing, progression testing, combat testing, core path testing, side quest testing, multiplayer testing, performance testing (on all supported platforms) and others I'm probably forgetting or was not asked to perform. In addition, everyone was expected to perform regression testing on their filed issues, and smoke checks around big fixes/breaks.",5,1,1,5,2,1,4,5,"Test plans were built by the leads and senior testers, I'm not sure when they were built. ",1,1,1,-1,1,-1,1,-1,-1,"We were testing for functionality, our testing process accomplished this by throwing as many bodies at the problem as we could afford and doing an extreme amount of overtime. The game was launched with minimal game breaking bugs, so I guess it worked. ",3,5,2,1,"I believe we had some automated testing, but my team was not privy to what those tests were testing for, or how/when they were run. Our team performed entirely manual testing for all aspects that we were asked to look at.",5,-1,-1,-1,-1,5,-1,5,1,5,"We used several in house built tools, all wrapped into one software package. This software allowed us to log crashes (and their frequency), as well as record sessions, record performance across sessions, file bugs and automatically attach logs/screenshots. There were more functions, but I was not trained on how to use them. The major benefits were that the system was custom built for the game we were testing, and had many excellent built in functionalities that made bug filing/investigation easier, but the major drawback was that if anything went wrong with the tool, it usually stayed broken for a very long time. ",5,3,5,4,5,4,"The testing output was highly dependent on which tester was writing the bug. We all went through the same training, but it stuck better for some people. If there were automated testing results, we never saw them. The people on the test ops group (my team) were generally more experienced, and had very few bugs come back for clarifications. ",-1,1,-1,5,-1,5,"Each testing pod had a dedicated lead, and at least a senior tester/analyst or two, depending on the focus. We also had a project manager dedicated to QA and a QA director. HR was covered by the general studio HR team, I was not privy to our funding specifications. We were authorized for as much OT as was determined to be necessary by studio leadership (again, I don't know who was making this call), and we always had the hardware we needed, though we did have some restrictions on how many consoles we could have (needed manager approval to have a console/get the permissions set up).",4,4,1,4,-1,2,4,1,1,"This project was brutal, and one of the best examples I've ever been in as far as ""traditional"" QA practices. There was a ton of burn out, a ton of overtime, and everyone got laid off at the end. ",Managers/leads who don't micro manage,"Being told that something isn't open for testing, after I've done a test pass on it","I would like more places to treat QA like they're part of the team, instead of some antagonizing force against them."
6,"['Dev/Prog/Eng', 'QA', 'Lead/Prod/Mgr', 'Designer/ProdOwner']",6,0,0,25-34,Canada,Indie Game,"Developer, Programmer, and/or Engineer","['QA', 'Lead/Prod/Mgr', 'Designer/ProdOwner']",Unity,1 year or less,1 - 49,Under $1M USD,"No, we did not have a publisher",1 year or less,"Mostly I would test as I was adding new features or mechanics, then I would make a build when I felt there was enough new stuff to test. I would then send it out to my teammates and some friends to get feedback on.",3,1,5,2,5,4,5,4,We did not make test plans,1,1,1,1,5,4,1,4,1,We were making sure the features and mechanics were working as intended and worked well in gameplay,5,5,5,4,We did not use automated testing,5,1,0,0,0,0,0,4,2,0,We did not use any tools for testing,0,0,0,0,0,4,We used debug.log() a lot,4,5,4,4,4,1,"We had no funding, so us on the team just tested it during our ""dev time"" using our Android devices we already owned. Same with the friends I asked to test it. ",4,2,1,3,2,1,5,5,5,It was a mobile game made by 3 people as our first commercial game,"Dedicating time to just testing a build, and if it's multiplayer then testing with others",Not being able to identify why the bugs are happening,Something that allows the tester to more easily identify why a bug is happening
3.75,"['QA', 'Lead/Prod/Mgr']",1,0,3,25-34,USA,AAA Game,Quality Assurance and/or Game Tester,['QA'],Proprietary,2 - 3 years,500 or more,Over $10M USD,"Yes, we had a publisher who provided marketing support",Over 3 years,Not sure how much I can say here.  ,4,1,4,5,5,5,5,5,Test plans were created both in office by leads and by a different qa  office under the same company. Used devsuite/devtrack.  ,5,3,4,4,1,2,4,5,4,Functionality ,5,5,5,3,"Majority manually, but automation saved us loads of time on things like invites to and from certain menus.",5,5,4,3,3,5,5,4,4,2,NDA,5,4,4,4,4,5,NDA,5,3,5,4,5,5,We had and have hundreds of testers on this project and it didn't/doesn't feel like enough sometimes.,2,4,4,4,4,1,5,1,1,,Direct communication with prod/devs,"Not having clear answers for tasks and needing to ask devs questions, but not having the ability to. ",More embedded and focused areas of testing. 
